"Level
(المستوى)","Chinese 
","Pinyin
","Arabic Translation
","Chinese Example
","Arabic Example
"
HSK 1,时候,shíhou,وقت / عندما,你什么时候回国？,متى ستعود إلى وطنك؟
HSK 1,爸爸,bàba,أب / بابا,我爸爸是医生。,أبي طبيب.
HSK 1,妈妈,māma,أم / ماما,我妈妈喜欢做饭。,أمي تحب الطبخ.
HSK 1,儿子,érzi,ابن,他儿子今年五岁了。,ابنه يبلغ من العمر خمس سنوات هذا العام.
HSK 1,女儿,nǚ'ér,ابنة,我有两个女儿。,لدي ابنتان.
HSK 1,老师,lǎoshī,معلم / أستاذ,李老师教我们汉语。,المعلم لي يعلمنا اللغة الصينية.
HSK 1,学生,xuéshēng,طالب,这所学校有很多学生。,هذه المدرسة بها الكثير من الطلاب.
HSK 1,同学,tóngxué,زميل الدراسة,他们是 my 同学。,هم زملائي في الدراسة.
HSK 1,朋友,péngyou,صديق,他是我最好的朋友。,هو صديقي المفضل.
HSK 1,医生,yīshēng,طبيب,去医院看医生。,اذهب إلى المستشفى لرؤية الطبيب.
HSK 1,先生,xiānshēng,سيد / زوج,张先生是一位医生。,السيد تشانغ طبيب.
HSK 1,小姐,xiǎojiě,آنسة,王小姐在商店工作。,الآنسة وانغ تعمل في المتجر.
HSK 1,衣服,yīfu,ملابس,这件衣服很漂亮。,هذه الملابس جميلة جداً.
HSK 1,水,shuǐ,ماء,请给我一杯水。,من فضلك أعطني كوباً من الماء.
HSK 1,菜,cài,خضار / أطباق طعام,中国菜很好吃。,الطعام الصيني لذيذ جداً.
HSK 1,米饭,mǐfàn,أرز مطبوخ,我中午吃米饭。,أنا آكل الأرز المطبوخ في الظهر.
HSK 1,水果,shuǐguǒ,فواكه,多吃水果对身体好。,تناول الكثير من الفاكهة مفيد للصحة.
HSK 1,苹果,píngguǒ,تفاح,我想吃一个红苹果。,أريد أن آكل تفاحة حمراء.
HSK 1,茶,chá,شاي,中国人喜欢喝茶。,الصينيون يحبون شرب الشاي.
HSK 1,杯子,bēizi,كوب / كَأْس,杯子里有热水。,يوجد ماء ساخن في الكوب.
HSK 1,钱,qián,مال / نقود,我有钱，我可以买。,لدي مال، يمكنني الشراء.
HSK 1,飞机,fēijī,طائرة,坐飞机去中国很快。,الذهاب إلى الصين بالطائرة سريع جداً.
HSK 1,出租车,chūzūchē,سيارة أجرة (تاكسي),我们坐出租车去火车站。,نحن نستقل سيارة أجرة إلى محطة القطار.
HSK 1,电视,diànshì,تلفاز,看电视可以学汉语。,مشاهدة التلفاز يمكن أن تساعد في تعلم الصينية.
HSK 1,电脑,diànnǎo,حاسوب / كمبيوتر,他在电脑前工作。,هو يعمل أمام الكمبيوتر.
HSK 1,电影,diànyǐng,فيلم / سينما,周六我们去看电影。,يوم السبت سنذهب لمشاهدة فيلم.
HSK 1,天气,tiānqì,الطقس,明天的天气怎么样？,كيف سيكون الطقس غداً؟
HSK 1,猫,māo,قطة,这只猫很可爱。,هذه القطة لطيفة جداً.
HSK 1,狗,gǒu,كلب,我家有一只大狗。,عائلتي لديها كلب كبير.
HSK 1,东西,dōngxi,أشياء / أغراض,我去超市买东西。,أذهب إلى السوبرماركت لشراء بعض الأشياء.
HSK 1,汉语,Hànyǔ,اللغة الصينية,汉语不难学。,اللغة الصينية ليست صعبة التعلم.
HSK 1,字,zì,حرف / مقطع كتابي,这个汉字怎么读？,كيف يُقرأ هذا الحرف الصيني؟
HSK 1,书,shū,كتاب,他在图书馆看书。,هو يقرأ كتاباً في المكتبة.
HSK 1,桌子,zhuōzi,طاولة / مكتب,桌子上有一台电脑。,توجد أجهزة حاسوب على الطاولة.
HSK 1,椅子,yǐzi,كرسي,请坐在椅子上。,من فضلك اجلس على الكرسي.
HSK 1,谢谢,xièxie,شكراً,谢谢你的礼物。,شكراً لك على هديتك.
HSK 1,不客气,búkèqi,على الرحب والسعة,谢谢你！- 不客气。,شكراً لك! - على الرحب والسعة.
HSK 1,再见,zàijiàn,إلى اللقاء / وداعاً,老师，再见！,وداعاً يا معلم!
HSK 1,请,qǐng,من فضلك / يتفضل,请进，请坐。,تفضل بالدخول، تفضل بالجلوس.
HSK 1,对不起,duìbuqǐ,آسف,对不起，我迟到了。,آسف، لقد تأخرت.
HSK 1,没关系,méiguānxi,لا بأس / لا عليك,对不起。- 没关系。,أنا آسف. - لا بأس.
HSK 1,是,shì,يكون / نعم,我是北京人。,أنا من سكان بكين.
HSK 1,有,yǒu,يملك / يوجد,我有一只可爱的猫。,لدي قطة لطيفة.
HSK 1,看,kàn,ينظر / يرى / يقرأ,我看了一本好书。,قرأت كتاباً جيداً.
HSK 1,听,tīng,يستمع,你听，这是什么声音？,استمع، ما هذا الصوت؟
HSK 1,说话,shuōhuà,يتكلم / يتحدث,请不要说话。,من فضلك لا تتحدث.
HSK 1,读,dú,يقرأ بصوت عالٍ / يدرس,我会读这个汉字。,أستطيع قراءة هذا الحرف الصيني.
HSK 1,写,xiě,يكتب,他在纸上写字。,هو يكتب الكلمات على الورقة.
HSK 1,看见,kànjiàn,يرى / لمح,我看见他进去了。,رأيته يدخل.
HSK 1,叫,jiào,يُدعى / يُنادي,我叫阿里。,أنا أُدعى علي.
HSK 1,来,lái,يأتي,朋友来我家玩。,جاء صديقي إلى منزلي للعب.
HSK 1,回,huí,يعود / يرجع,我下午五点回家。,سأعود إلى المنزل في الساعة الخامسة بعد الظهر.
HSK 1,去,qù,يذهب,我们去商店买水果。,نحن نذهب إلى المتجر لشراء الفاكهة.
HSK 1,吃,chī,يأكل,你喜欢吃中国菜吗？,هل تحب أكل الطعام الصيني؟
HSK 1,喝,hē,يشرب,我想喝一杯热茶。,أريد شرب كوب من الشاي الساخن.
HSK 1,睡觉,shuìjiào,ينام,太晚了，去睡觉吧。,الوقت متأخر جداً، اذهب للنوم.
HSK 1,做,zuò,يفعل / يصنع,你在做什么菜？,ما هي الأكلة التي تصنعها؟
HSK 1,买,mǎi,يشتري,我想买一件新衣服。,أريد شراء ملابس جديدة.
HSK 1,开,kāi,يفتح / يقود سيارة,爸爸开车去工作。,أبي يقود السيارة إلى العمل.
HSK 1,坐,zuò,يجلس / يستقل مواصلة,请坐，喝杯茶吧。,تفضل بالجلوس، واشرب كوباً من الشاي.
HSK 1,住,zhù,يعيش / يسكن,我住北京饭店。,أنا أسكن في فندق بكين.
HSK 1,学习,xuéxí,يدرس / يتعلم,努力学习汉语。,ادرس اللغة الصينية بجد.
HSK 1,工作,gōngzuò,يعمل / عمل,我的工作很忙。,عملي مزدحم جداً.
HSK 1,医院,yīyuàn,مستشفى,他在医院工作。,هو يعمل في المستشفى.
HSK 1,好,hǎo,جيد / حسناً,今天天气很好。,الطقس جيد جداً اليوم.
HSK 1,大,dà,كبير,这个苹果很大。,هذه التفاحة كبيرة جداً.
HSK 1,小,xiǎo,صغير,家里有一只小狗。,يوجد جرو صغير في المنزل.
HSK 1,多,duō,كثير,学校里有很多学生。,هناك الكثير من الطلاب في المدرسة.
HSK 1,少,shǎo,قليل,杯子里的水很少。,الماء في الكوب قليل جداً.
HSK 1,冷,lěng,بارد,今天真的很冷。,اليوم بارد حقاً.
HSK 1,热,rè,حار / ساخن,夏天天气很热。,الطقس حار جداً في الصيف.
HSK 1,高兴,gāoxìng,سعيد / مسرور,见到你很高兴。,سعيد جداً بلقائك.
HSK 1,漂亮,piàoliang,جميل,她穿得真漂亮。,إنها ترتدي ملابس جميلة حقاً.
HSK 1,吗,ma,هل (أداة استفهام),你是老师吗？,هل أنت معلم؟
HSK 1,呢,ne,ماذا عن (أداة سؤال تعقيبية),我很好，你呢？,أنا بخير، ماذا عنك؟
HSK 1,了,le,أداة تفيد تغيير الحالة أو إتمام الفعل,下雨了，快回家吧。,لقد أمطرت، عُد إلى المنزل بسرعة.
HSK 2,玩,wán,يلعب / يتسلى,孩子们在公园玩。,الأطفال يلعبون في الحديقة.
HSK 2,睡觉,shuìjiào,ينام,我昨晚睡得很好。,نمت جيداً ليلة أمس.
HSK 2,跳舞,tiàowǔ,يرقص,她跳舞跳得非常美。,إنها ترقص بشكل جميل للغاية.
HSK 2,唱歌,chànggē,يغني,妹妹喜欢唱歌。,أختي الصغيرة تحب الغناء.
HSK 2,跑步,pǎobù,يركض / يجري,我每天早晨跑步。,أنا أركض كل صباح.
HSK 2,踢足球,tīzúqiú,يلعب كرة قدم,他们喜欢踢足球。,هم يحبون لعب كرة القدم.
HSK 2,打篮球,dǎlánqiú,يلعب كرة سلة,下午我们去打篮球。,بعد الظهر سنذهب للعب كرة السلة.
HSK 2,旅游,lǚyóu,يسافر / سياحة,今年夏天我想去旅游。,هذا الصيف أريد الذهاب للسياحة.
HSK 2,上班,shàngbān,يذهب إلى العمل,爸爸每天八点上班。,أبي يذهب إلى العمل كل يوم في الثامنة.
HSK 2,生病,shēngbìng,يمرض,他生病了，没去学校。,هو مريض، لذا لم يذهب إلى المدرسة.
HSK 2,休息,xiūxi,يرتاح / يأخذ استراحة,累了就休息一下。,إذا كنت متعباً، خذ قسطاً من الراحة.
HSK 2,药,yào,دواء,记得按时吃药。,تذكر أن تأخذ الدواء في وقته.
HSK 2,身体,shēntǐ,جسم / صحة,最近身体怎么样？,كيف حال صحتك مؤخراً؟
HSK 2,出院,chūyuàn,يخرج من المستشفى,他下个星期可以出院。,يمكنه الخروج من المستشفى الأسبوع المقبل.
HSK 2,出,chū,يخرج,他刚从房间里出来。,لقد خرج للتو من الغرفة.
HSK 2,进,jìn,يدخل,请进，外面很冷。,تفضل بالدخول، الجو بارد في الخارج.
HSK 2,买,mǎi,يشتري,我去买一些水果。,سأذهب لأشتري بعض الفواكه.
HSK 2,卖,mài,يبيع,这家商店卖书。,هذا المتجر يبيع الكتب.
HSK 2,路,lù,طريق / شارع,这条路一直走就是学校。,سر مستقيماً في هذا الطريق لتصل إلى المدرسة.
HSK 2,走,zǒu,يمشي / يغادر,我们走路去吧。,فلنذهب سيراً على الأقدام.
HSK 2,公共汽车,gōnggòngqìchē,حافلة عامة (باص),坐公共汽车很便宜。,ركوب الحافلة العامة رخيص جداً.
HSK 2,自行车,zìxíngchē,دراجة هوائية,他骑自行车去上学。,هو يذهب إلى المدرسة راكباً دراجة هوائية.
HSK 2,报纸,bàozhǐ,جريدة / صحيفة,爷爷每天看报纸。,جدي يقرأ الجريدة كل يوم.
HSK 2,羊肉,yángròu,لحم غنم / لحم ضأن,今晚我们吃羊肉。,الليلة سنأكل لحم الغنم.
HSK 2,鸡蛋,jīdàn,بيض,早饭我吃了一个鸡蛋。,أكلت بيضة واحدة في وجبة الإفطار.
HSK 2,西瓜,xīguā,بطيخ,夏天吃西瓜很舒服。,تناول البطيخ في الصيف منعش جداً.
HSK 2,牛奶,niúnǎi,حليب / لبن,每天喝一杯牛奶。,اشرب كوباً من الحليب كل يوم.
HSK 2,咖啡,kāfēi,قهوة,你想喝咖啡还是茶？,هل تريد شرب القهوة أم الشاي؟
HSK 2,哥哥,gēge,أخ أكبر,我哥哥是大夫。,أخي الأكبر طبيب.
HSK 2,姐姐,jiějie,أخت أكبر,姐姐喜欢弹钢琴。,أختي الكبرى تحب عزف البيانو.
HSK 2,弟弟,dìdi,أخ أصغر,弟弟正在写作业。,أخي الأصغر يكتب واجبه الآن.
HSK 2,妹妹,mèimei,أخت أصغر,妹妹今年三岁了。,أختي الصغيرة تبلغ من العمر ثلاث سنوات.
HSK 2,丈夫,zhàngfu,زوج,我丈夫在银行工作。,زوجي يعمل في بنك.
HSK 2,妻子,qīzi,زوجة,他的妻子非常漂亮。,زوجته جميلة جداً.
HSK 2,孩子,háizi,طفل / أولاد,他们有两个孩子。,لديهم طفلان.
HSK 2,男人,nánrén,رجل,那个男人是我们的校长。,ذلك الرجل هو مدير مدرستنا.
HSK 2,女人,nǚrén,امرأة,房间里有三个女人。,يوجد ثلاث نساء في الغرفة.
HSK 2,服务员,fúwùyuán,نادل / موظف خدمة,服务员，请给我菜单。,يا نادل، أعطني قائمة الطعام من فضلك.
HSK 2,长,cháng,طويل,这条河很长。,هذا النهر طويل جداً.
HSK 2,高,gāo,عالي / طويل القامة,他长得很高。,هو طويل القامة.
HSK 2,红,hóng,أحمر,她穿了一件红裙子。,ارتدت فستاناً أحمر.
HSK 2,白,bái,أبيض,地上的雪很白。,الثلج على الأرض أبيض جداً.
HSK 2,黑,hēi,أسود / مظلم,天黑了，我们回家吧。,لقد حل الظلام، فلنعد إلى المنزل.
HSK 2,新,xīn,جديد,这是我的新电脑。,هذا حاسوبي الجديد.
HSK 2,旧,jiù,قديم (للأشياء),这本书已经很旧了。,هذا الكتاب قديم جداً بالفعل.
HSK 2,贵,guì,غالٍ / ثمين,这双鞋太贵了。,هذا الحذاء غالٍ جداً.
HSK 2,便宜,piányi,رخيص,这里的衣服很便宜。,الملابس هنا رخيصة جداً.
HSK 2,晴,qíng,مشمس / صافٍ,今天是晴天。,اليوم يوم مشمس.
HSK 2,阴,yīn,غائم,今天是阴天，可能下雨。,اليوم غائم، ربما تمطر.
HSK 2,百,bǎi,مئة,这本书一百块钱。,هذا الكتاب بمئة يوان.
HSK 2,千,qiān,ألف,我们学校有一千个学生。,مدرستنا بها ألف طالب.
HSK 2,第一,dì-yī,الأول,他是我们班第一名。,هو الأول في فصلنا.
HSK 2,两,liǎng,اثنان (تستعمل مع أدوات التصنيف),我有两只手。,عندي يدان.
HSK 2,次,cì,مرة (أداة تصنيف للأفعال),我去过中国两次。,ذهبت إلى الصين مرتين.
HSK 2,件,jiàn,أداة تصنيف للملابس والقضايا,这件衣服多少钱？,بكم هذه القطعة من الملابس؟
HSK 2,双,shuāng,زوج (لأشياء مثل الأحذية),我想买一双鞋。,أريد شراء زوج من الأحذية.
HSK 2,公斤,gōngjīn,كيلوغرام,我买了一公斤苹果。,اشتريت كيلوغراماً واحداً من التفاح.
HSK 2,元,yuán,يوان (وحدة العملة الأساسية),这支笔五元钱。,هذا القلم بخمسة يوان.
HSK 2,角,jiǎo,جياو (جزء من عشرة من اليوان),一元等于十角。,اليوان الواحد يساوي عشرة جياو.
HSK 2,分,fēn,فين (قرش / دقيقة),八点五分了。,الساعة الثامنة وخمس دقائق.
HSK 2,时间,shíjiān,وقت / زمن,我没有时间去玩。,ليس لدي وقت للعب.
HSK 2,事情,shìqing,أمر / موضوع / قضية,今天有很多事情要做。,اليوم هناك الكثير من الأمور لأفعلها.
HSK 2,考试,kǎoshì,امتحان / اختبار,明天有汉语考试。,غداً هناك امتحان لغة صينية.
HSK 2,题,tí,سؤال امتحان / مسألة,这道题很难。,هذا السؤال صعب جداً.
HSK 2,意思,yìsi,معنى / مغزى,这个字是什么意思？,ما معنى هذا الحرف؟
HSK 2,课,kè,درس / حصة صفية,上午我们有三节课。,لدينا ثلاث حصص في الصباح.
HSK 2,公司,gōngsī,شركة,他在一家电脑公司工作。,هو يعمل في شركة حاسوب.
HSK 2,门,mén,باب / أداة تصنيف للمواد الدراسية,请把门关上。,من فضلك أغلق الباب.
HSK 2,窗户,chuānghu,نافذة / شباك,推开窗户呼吸新鲜空气。,افتح النافذة لتتنفس هواءً نقياً.
HSK 2,铅笔,qiānbǐ,قلم رصاص,我可以用你的铅笔吗？,هل يمكنني استخدام قلم الرصاص الخاص بك؟
HSK 2,手纸,shǒuzhǐ,ورق تواليت / مناديل,请给我一点手纸。,أعطني بعض المناديل من فضلك.
HSK 2,手表,shǒubiǎo,ساعة يد,这块手表是爸爸送的。,ساعة اليد هذه هدية من أبي.
HSK 2,眼睛,yǎnjing,عين,她的眼睛是大大的。,عيناها كبيرتان.
HSK 2,耳朵,ěrduō,أذن,兔子有一双长耳朵。,الأرنب يملك أذنين طويلتين.
HSK 2,鼻子,bízi,أنف,他的鼻子很高。,أنفه مرتفع.
HSK 2,嘴,zuǐ,فم,请闭上你的嘴。,من فضلك أغلق فمك.
HSK 2,头发,tóufa,شعر الرأس,她的头发很长。,شعرها طويل جداً.
HSK 2,脸,liǎn,وجه,洗脸洗手再去吃饭。,اغسل وجهك ويدك قبل الأكل.
HSK 2,手,shǒu,يد,我们用双手劳动。,نحن نعمل بكلتا يدينا.
HSK 2,脚,jiǎo,قدم,他的脚受伤了。,قدمه مصابة.
HSK 2,踢,tī,يركل / يضرب بالقدم,不要踢小狗。,لا تركض الجرو الصغير.
HSK 2,打,dǎ,يضرب / يلعب باليد,他喜欢打羽毛球。,هو يحب لعب كرة الريشة.
HSK 2,等,děng,ينتظر,请等我一下。,من فضلك انتظرني قليلاً.
HSK 2,找,zhǎo,يبحث عن,你在找什么？,عن ماذا تبحث؟
HSK 2,给,gěi,يعطي / لِـ,我给他写了一封信。,كتبت له رسالة.
HSK 2,还,hái,ما زال / أيضاً,他还没来呢。,هو لم يأتِ بعد.
HSK 2,也,yě,أيضاً,我是学生，他也是学生。,أنا طالب، وهو طالب أيضاً.
HSK 2,就,jiù,بالفعل / فوراً / عندها,看完书我就睡觉。,بمجرد الانتهاء من قراءة الكتاب سأنام.
HSK 2,真,zhēn,حقاً / فعلاً,今天天气真好！,الطقس جميل حقاً اليوم!
HSK 2,更,gèng,أكثر / بشكل أكبر,明天天气会更热。,الطقس غداً سيكون أكثر حرارة.
HSK 2,最,zuì,الأكثر (صيغة التفضيل العليا),他是我最好的朋友。,هو صديقي المفضل (الأفضل).
HSK 2,为什么,wèishénme,لماذا,你为什么不高兴？,لماذا أنت غير سعيد؟
HSK 2,所以,suǒyǐ,لذلك / بناءً عليه,因为下雨，所以没去外边。,لأنها أمطرت، لذلك لم نذهب للخارج.
HSK 2,因为,yīnwèi,لأن / بسبب,因为生病，他请假了。,بسبب المرض، أخذ إجازة.
HSK 2,虽然,suīrán,على الرغم من,虽然很累，但他很高兴。,على الرغم من أنه متعب، إلا أنه سعيد جداً.
HSK 2,但是,dànshì,ولكن,虽然很难，但是我喜欢学。,على الرغم من صعوبتها، ولكنني أحب تعلمها.
HSK 2,可以,kěyǐ,يمكن / يُسمح بـ,现在你可以进去了。,الآن يمكنك الدخول.
HSK 2,可能,kěnéng,محتمل / ربما,明天可能下雪。,ربما يثلج غداً.
HSK 2,懂,dǒng,يفهم,你听懂我的话了吗？,هل فهمت كلامي؟
HSK 2,准备,zhǔnbèi,يستعد / يجهّز,我准备好了考汉语。,لقد استعددت لامتحان اللغة الصينية.
HSK 2,觉得,juéde,يشعر / يظن / يرى أن,我觉得这个菜很好吃。,أرى أن هذا الطبق لذيذ جداً.
HSK 2,希望,xīwàng,يتمنى / يأمل,我希望去中国旅行。,أتمنى الذهاب في رحلة إلى الصين.
HSK 2,意思,yìsi,معنى / متعة,这个电影很有意思。,هذا الفيلم ممتع جداً.
HSK 3,满意,mǎnyì,راضٍ / مقتنع,经理对助手的工作很满意。 (1),المدير راضٍ جداً عن عمل المساعد.
HSK 3,愿意,yuànyì,يرغب / مستعد لـ,我愿意帮助你解决这个问题。 (2),أنا مستعد لمساعدتك في حل هذه المشكلة.
HSK 3,害怕,hàipà,خائف / يخشى,别害怕，这只狗不咬人。 (3),لا تخف، هذا الكلب لا يعض.
HSK 3,着急,zhāojí,قلق / مستعجل,别着急，我们还有时间。 (4),لا تقلق، ما زال لدينا وقت.
HSK 3,习惯5,xíguàn,يعتاد على / عادة,我已经习惯了这里的气候。 (5),لقد اعتدت بالفعل على المناخ هنا.
HSK 3,班,bān,فصل دراسي / وردية عمل,我们班有二十个学生。 (6),فصلنا يحتوي على عشرين طالباً.
HSK 3,经理,jīnglǐ,مدير,王经理现在正在开会。 (7),المدير وانغ يعقد اجتماعاً الآن.
HSK 3,机会,jīhuì,فرصة,这是一个很难得的机会。 (8),هذه فرصة نادرة جداً.
HSK 3,决定,juédìng,يقرر / قرار,我决定明年去中国留学。 (9),قررت الذهاب للدراسة في الصين العام المقبل.
HSK 3,影响,yǐngxiǎng,تأثير / يؤثر على,看电视太多会影响学习。 (10),مشاهدة التلفاز كثيراً تؤثر على الدراسة.
HSK 3,了解,liǎojiě,يفهم / يستوعب عميقاً,我想了解一下当地的文化。 (11),أريد أن أتعرف على الثقافة المحلية.
HSK 3,需要,xūyào,يحتاج / حاجة,如果需要帮助，请告诉我。 (12),إذا كنت بحاجة إلى مساعدة، أخبرني من فضلك.
HSK 3,感觉,gǎnjué,يشعر / شعور,今天我感觉身体舒服多了。 (13),المعلم يقص علينا قصة.
HSK 3,认真,rènzhēn,جاد / مخلص,他学习非常认真。 (14),هو يدرس بجدية بالغة.
HSK 3,奇怪,qíguài,غريب / عجيب,这件事真奇怪。 (15),هذا الأمر غريب حقاً.
HSK 3,选择,xuǎnzhé,يختار / خيار,做出了正确的选择。 (16),اتخذ الخيار الصحيح.
HSK 3,练习,liànxí,يتدرب / تمرين,每天练习写汉字。 (17),يتدرب على كتابة الحروف الصينية يومياً.
HSK 3,提高,tígāo,يرفع / يحسن,我想提高我的汉语水平。 (18),أريد تحسين مستواي في اللغة الصينية.
HSK 3,完成,wánchéng,يُكمل / يُنجز,我已经完成了作业。 (19),لقد أكملت واجبي بالفعل.
HSK 3,安全,ānquán,آمن / سلامة,过马路要注意安全。 (20),انتبه للسلامة عند عبور الشارع.
HSK 3,阿姨,āyí,خالة / عمة,阿姨，请问洗手间在哪儿？ (21),يا خالة، أين دورة المياه من فضلك؟
HSK 3,把,bǎ,أداة لتقديم المفعول به,请把门打开。 (22),من فضلك افتح الباب.
HSK 3,饱,bǎo,شبعان,我已经吃饱了。 (23),لقد شبعت بالفعل.
HSK 3,冰箱,bīngxiāng,ثلاجة,把牛奶放进冰箱里吧。 (24),ضع الحليب في الثلاجة.
HSK 3,超市,chāoshì,سوبرماركت,我去超市买点东西。 (25),سأذهب إلى السوبرماركت لأشتري بعض الأشياء.
